language,is_latin,copy_bleu,copy_chrf
spa_Latn,True,1.5707825948869008,19.382391963189107
fra_Latn,True,2.09477393573322,21.181674156353772
deu_Latn,True,2.4168235932126763,18.85319733091453
por_Latn,True,2.2517037599727985,20.880836842560296
ita_Latn,True,2.176638548449145,20.59895380452889
zho_Hans,False,0.3996632128594972,4.184646190092116
jpn_Jpan,False,0.1145390773452836,1.7501770027657249
rus_Cyrl,False,0.8946822271149842,2.206425642862135
arb_Arab,False,0.6133560525778495,1.505155755047123
kor_Hang,False,0.7630658726070664,3.7808414069154495
ben_Beng,False,0.4560793702633549,1.186335148953967
hin_Deva,False,0.6172411301969573,1.6125652791252418
urd_Arab,False,0.3197331627836699,0.6540547659736309
tam_Taml,False,0.9706625140373614,2.221699343853403
tel_Telu,False,1.371322229960172,3.048907990607153
mar_Deva,False,0.5951232475789089,1.86238777209982
npi_Deva,False,0.9082980401310116,1.6951077578898022
swh_Latn,True,2.214994281493188,14.77804191803556
yor_Latn,True,2.2744085918285384,12.962354771568195
zul_Latn,True,2.088152243121084,15.74051202544523
hau_Latn,True,2.534264991005033,15.229762937585608
amh_Ethi,False,0.4300087756538934,0.958462498328432
ibo_Latn,True,2.2173363031415656,14.905804824941546
vie_Latn,True,1.64171470244075,11.786125616253583
ind_Latn,True,2.7418265111789064,18.280689180384257
tha_Thai,False,0.6348875209190313,3.0696397485219027
khm_Khmr,False,1.2131767959813622,4.626126065439145
sin_Sinh,False,0.633419528752451,1.9893815672364088
lao_Laoo,False,2.046464332639939,7.859196410261632
mya_Mymr,False,0.4631037228830793,1.1843608727023986
kat_Geor,False,0.7367045842833146,2.2260098850583048
khk_Cyrl,False,0.5842904314128586,1.7614378694196715
